,Class,Layers,Split,Dataset,Model,Entropy
170,class_3,10,test,Covertype,CAT,5.715541
171,class_3,10,test,Covertype,FT,5.7218404
172,class_3,5,train,Covertype,CAT,5.6416516
173,class_3,5,train,Covertype,FT,5.6515503
174,class_3,5,test,Covertype,CAT,5.6417317
175,class_3,5,test,Covertype,FT,5.6514964
176,class_3,15,train,Covertype,CAT,5.736743
177,class_3,15,train,Covertype,FT,5.7363453
178,class_3,15,test,Covertype,CAT,5.7367816
179,class_3,15,test,Covertype,FT,5.7361
180,class_3,20,train,Covertype,CAT,5.7470284
181,class_3,20,train,Covertype,FT,5.7411165
182,class_3,20,test,Covertype,CAT,5.746959
183,class_3,20,test,Covertype,FT,5.7411175
184,class_3,1,train,Covertype,CAT,3.994222
185,class_3,1,train,Covertype,FT,3.988275
186,class_3,1,test,Covertype,CAT,3.986234
187,class_3,1,test,Covertype,FT,3.9729512
188,class_3,3,train,Covertype,CAT,5.511007
189,class_3,3,train,Covertype,FT,5.5008326
190,class_3,3,test,Covertype,CAT,5.5107007
191,class_3,3,test,Covertype,FT,5.5002384
192,class_4,10,train,Covertype,CAT,5.7214475
193,class_4,10,train,Covertype,FT,5.7209373
194,class_4,10,test,Covertype,CAT,5.7213717
195,class_4,10,test,Covertype,FT,5.7209444
196,class_4,5,train,Covertype,CAT,5.643581
197,class_4,5,train,Covertype,FT,5.6406794
198,class_4,5,test,Covertype,CAT,5.643289
199,class_4,5,test,Covertype,FT,5.640408
200,class_4,15,train,Covertype,CAT,5.739095
201,class_4,15,train,Covertype,FT,5.7358546
202,class_4,15,test,Covertype,CAT,5.7390585
203,class_4,15,test,Covertype,FT,5.7358136
204,class_4,20,train,Covertype,CAT,5.746712
205,class_4,20,train,Covertype,FT,5.743217
206,class_4,20,test,Covertype,CAT,5.7467055
207,class_4,20,test,Covertype,FT,5.7432246
208,class_4,1,train,Covertype,CAT,4.243648
209,class_4,1,train,Covertype,FT,4.1942754
210,class_4,1,test,Covertype,CAT,4.234511
211,class_4,1,test,Covertype,FT,4.189007
212,class_4,3,train,Covertype,CAT,5.53731
213,class_4,3,train,Covertype,FT,5.502206
214,class_4,3,test,Covertype,CAT,5.536637
215,class_4,3,test,Covertype,FT,5.5022097
216,class_5,10,train,Covertype,CAT,5.7176385
217,class_5,10,train,Covertype,FT,5.722143
218,class_5,10,test,Covertype,CAT,5.7177777
219,class_5,10,test,Covertype,FT,5.72218
220,class_5,5,train,Covertype,CAT,5.64316
221,class_5,5,train,Covertype,FT,5.648965
222,class_5,5,test,Covertype,CAT,5.6432953
223,class_5,5,test,Covertype,FT,5.649327
224,class_5,15,train,Covertype,CAT,5.737343
225,class_5,15,train,Covertype,FT,5.7353873
226,class_5,15,test,Covertype,CAT,5.737411
227,class_5,15,test,Covertype,FT,5.735506
228,class_5,20,train,Covertype,CAT,5.746839
229,class_5,20,train,Covertype,FT,5.7418227
230,class_5,20,test,Covertype,CAT,5.746876
231,class_5,20,test,Covertype,FT,5.741892
232,class_5,1,train,Covertype,CAT,4.173936
233,class_5,1,train,Covertype,FT,4.094467
234,class_5,1,test,Covertype,CAT,4.1818805
235,class_5,1,test,Covertype,FT,4.10029
236,class_5,3,train,Covertype,CAT,5.526419
237,class_5,3,train,Covertype,FT,5.5149693
238,class_5,3,test,Covertype,CAT,5.527403
239,class_5,3,test,Covertype,FT,5.5160403
240,class_6,10,train,Covertype,CAT,5.7187395
241,class_6,10,train,Covertype,FT,5.729869
242,class_6,10,test,Covertype,CAT,5.718761
243,class_6,10,test,Covertype,FT,5.7298274
244,class_6,5,train,Covertype,CAT,5.6671605
245,class_6,5,train,Covertype,FT,5.652992
246,class_6,5,test,Covertype,CAT,5.66697
247,class_6,5,test,Covertype,FT,5.6529512
248,class_6,15,train,Covertype,CAT,5.738691
249,class_6,15,train,Covertype,FT,5.7372565
250,class_6,15,test,Covertype,CAT,5.738631
251,class_6,15,test,Covertype,FT,5.7372637
252,class_6,20,train,Covertype,CAT,5.745825
253,class_6,20,train,Covertype,FT,5.7431006
254,class_6,20,test,Covertype,CAT,5.745786
255,class_6,20,test,Covertype,FT,5.7431164
256,class_6,1,train,Covertype,CAT,4.184817
257,class_6,1,train,Covertype,FT,3.9774442
258,class_6,1,test,Covertype,CAT,4.184264
259,class_6,1,test,Covertype,FT,3.9799542
260,class_6,3,train,Covertype,CAT,5.532402
261,class_6,3,train,Covertype,FT,5.469058
262,class_6,3,test,Covertype,CAT,5.532374
263,class_6,3,test,Covertype,FT,5.468956
